N,DEWP,TEMP,PRES,WIND_SPEED,SNOW,RAIN,PM25,PM25
1,-16,-4,1020,1.79,0,0,129,129
2,-15,-4,1020,2.68,0,0,148,148
3,-11,-5,1021,3.57,0,0,159,159
4,-7,-5,1022,5.36,1,0,181,181
5,-7,-5,1022,6.25,2,0,138,138
6,-7,-6,1022,7.14,3,0,109,109
7,-7,-6,1023,8.93,4,0,105,105
8,-7,-5,1024,10.72,0,0,124,124
9,-8,-6,1024,12.51,0,0,120,120
10,-7,-5,1025,14.3,0,0,132,132
11,-7,-5,1026,17.43,1,0,140,140
12,-8,-5,1026,20.56,0,0,152,152
13,-8,-5,1026,23.69,0,0,148,148
14,-8,-5,1025,27.71,0,0,164,164
15,-9,-5,1025,31.73,0,0,158,158
16,-9,-5,1025,35.75,0,0,154,154
17,-9,-5,1026,37.54,0,0,159,159
18,-8,-5,1027,39.33,0,0,164,164
19,-8,-5,1027,42.46,0,0,170,170
20,-8,-5,1028,44.25,0,0,149,149
21,-7,-5,1028,46.04,0,0,154,154
22,-7,-5,1027,49.17,1,0,164,164
23,-8,-6,1028,52.3,2,0,156,156
24,-8,-6,1027,55.43,3,0,126,126
25,-7,-6,1027,58.56,4,0,90,90
26,-8,-6,1026,61.69,5,0,63,63
27,-8,-7,1026,65.71,6,0,65,65
28,-8,-7,1025,68.84,7,0,55,55
29,-8,-7,1024,72.86,8,0,65,65
30,-9,-8,1024,76.88,9,0,83,83
31,-10,-8,1024,80.9,10,0,91,91
32,-10,-9,1024,84.92,11,0,86,86
33,-10,-9,1024,89.84,12,0,82,82
34,-11,-9,1023,93.86,13,0,86,86
35,-11,-9,1023,97.88,15,0,78,78
36,-11,-9,1022,102.8,16,0,98,98
37,-11,-9,1021,105.93,17,0,107,107
38,-11,-9,1020,111.74,19,0,90,90
39,-11,-9,1020,116.66,20,0,96,96
40,-11,-9,1020,121.58,21,0,95,95
41,-11,-9,1020,124.71,22,0,86,86
42,-11,-9,1020,127.84,23,0,70,70
43,-11,-9,1021,0.89,24,0,61,61
44,-11,-9,1022,1.78,25,0,53,53
45,-10,-9,1022,4.02,26,0,71,71
46,-11,-10,1023,7.15,27,0,72,72
47,-11,-9,1023,11.17,0,0,76,76
48,-12,-11,1023,14.3,0,0,73,73
49,-14,-12,1023,16.09,0,0,79,79
50,-16,-9,1023,21.9,0,0,58,58
51,-17,-10,1024,29.95,0,0,25,25
52,-18,-11,1024,39.78,0,0,26,26
53,-19,-11,1025,48.72,0,0,28,28
54,-20,-12,1026,55.87,0,0,26,26
55,-21,-12,1027,64.81,0,0,20,20
56,-21,-13,1027,73.75,0,0,29,29
57,-22,-13,1028,80.9,0,0,26,26
58,-22,-13,1029,90.73,0,0,27,27
59,-22,-12,1030,100.56,0,0,27,27
60,-23,-12,1031,108.61,0,0,25,25
61,-21,-11,1030,117.55,0,0,29,29
62,-20,-10,1030,127.38,0,0,32,32
63,-21,-10,1030,136.32,0,0,28,28
64,-21,-9,1030,145.26,0,0,29,29
65,-21,-9,1031,152.41,0,0,30,30
66,-20,-11,1032,159.56,0,0,30,30
67,-23,-11,1032,165.37,0,0,28,28
68,-21,-12,1033,171.18,0,0,26,26
69,-24,-12,1034,180.12,0,0,31,31
70,-24,-13,1034,187.27,0,0,33,33
71,-24,-13,1035,195.32,0,0,29,29
72,-26,-15,1035,198.45,0,0,31,31
73,-26,-17,1035,201.58,0,0,30,30
74,-26,-18,1035,205.6,0,0,34,34
75,-26,-19,1035,208.73,0,0,27,27
76,-27,-18,1035,213.65,0,0,25,25
77,-27,-19,1035,218.57,0,0,28,28
78,-27,-16,1034,4.92,0,0,28,28
79,-26,-16,1035,8.05,0,0,27,27
80,-27,-16,1034,13.86,0,0,27,27
81,-26,-16,1035,18.78,0,0,27,27
82,-26,-15,1035,24.59,0,0,29,29
83,-25,-14,1035,29.51,0,0,36,36
84,-25,-13,1035,34.43,0,0,30,30
85,-25,-12,1034,39.35,0,0,27,27
86,-24,-11,1032,41.14,0,0,39,39
87,-22,-11,1032,0.89,0,0,41,41
