TPERIOD,	K_LINE,	D_LINE, RSI_LINE,R_LINE,TREND
1,75.49,76.16,42.11,-0.000387417468417635,0
2,70.74,74.2,36.47,-0.000426517150814559,0
3,68.88,71.7,34.53,-0.000471431243023159,0
4,68.57,69.4,34.2,-0.000504478843303107,0
5,66.79,68.08,32.3,-0.000543021854009697,0
6,64.81,66.72,30.29,-0.000587505694347887,0
7,64.69,65.43,30.17,-0.00061694428843532,0
8,64.76,64.75,30.35,-0.00063224463884121,0
9,64.15,64.53,29.65,-0.000643304919726216,0
10,64.15,64.35,29.64,-0.000644706982811767,0
11,62.15,63.48,27.24,-0.000659111479125431,0
12,61.82,62.7,26.85,-0.000666290595635221,0
13,55.66,59.88,20.88,-0.000727952429672038,0
14,55.66,57.72,20.88,-0.00076799603857802,0
15,55.66,55.66,20.88,-0.000790639965807422,0
16,62.33,57.89,39.17,-0.000730445206904152,0
17,69.51,62.5,52.03,-0.000600731805003112,0
18,69,66.95,51.21,-0.00049749575155413,0
19,66.71,68.41,47.54,-0.000434703085888963,0
20,68.97,68.23,51.25,-0.000357139407452333,0
21,68.96,68.21,51.23,-0.000292415912723804,0
22,68.74,68.89,50.82,-0.000240675455354735,0
23,68.74,68.81,50.82,-0.000197395610198719,0
24,68.74,68.74,50.82,-0.000161237604946304,0
25,68.74,68.74,50.82,-0.000131071396817549,1
26,72.35,69.94,58.12,-0.0000686216070220399,1
27,72.35,71.15,58.12,-0.0000189150405287015,1
28,72.35,72.35,58.12,0.0000202413612349562,1
29,72.35,72.35,58.12,0.0000506848615624554,1
30,72.35,72.35,58.12,0.0000739561233483398,1
31,72.35,72.35,58.12,0.0000913438296703531,1
32,72.35,72.35,58.12,0.000103924398347368,1
33,72.35,72.35,58.12,0.000112595760904219,1
34,72.35,72.35,58.12,0.000118105836330456,1
35,72.35,72.35,58.12,0.000121076531262928,1
36,72.35,72.35,58.12,0.000122023966979286,1
37,72.35,72.35,58.12,0.00012137552340267,1
38,72.35,72.35,58.12,0.000119484197711362,1
39,72.35,72.35,58.12,0.000116640697237354,1
40,72.35,72.35,58.12,0.000113083620737471,1
41,72.35,72.35,58.12,0.000109008026851438,1
42,74.28,72.99,66.76,0.000124511642812856,1
43,84.56,77.06,84.77,0.000241279227678565,1
44,81.99,80.27,73.99,0.000303502510729216,1
45,81.07,82.54,70.53,0.000339306052065395,1
46,80.79,81.28,69.45,0.000360555379859223,1
47,80.51,80.79,68.35,0.000370220714074733,1
48,79.15,80.15,63.07,0.000359568473903359,1
49,80.39,80.02,65.67,0.000359865720083345,1
50,80.02,79.85,64.24,0.000352266348693578,1
51,80.02,80.15,64.24,0.000342297711083625,1
52,79.16,79.74,60.61,0.000321691389681174,0
53,67.77,75.65,33.59,0.00018443223421667,0
54,65.04,70.66,30.12,0.0000465453876494575,0
55,70.6,67.8,43.01,-0.00000471472255480518,0
56,63.12,66.25,33.94,-0.000122002416623143,0
57,65.92,66.55,39.12,-0.000183613756127916,0
58,65.92,64.99,39.11,-0.000229858513648472,0
59,58.93,63.59,38.95,-0.000264799853859569,0
60,58.5,61.12,38.46,-0.000292900698466436,1
61,58.46,58.63,38.42,-0.000311929299172296,1
62,89.1,68.68,69.46,-0.0000596469423775742,1
63,88.18,78.58,68.36,0.000130730965830263,1
64,83.25,86.84,62.78,0.000237653033065724,1
65,83.41,84.95,63.6,0.000329123554446793,1
66,73.03,79.9,53.55,0.000314546123786309,1
67,71.21,75.88,53.55,0.000299540571949337,1
68,71,71.75,53.36,0.000282820959279105,1
69,68.42,70.21,53.21,0.00026529329554617,1
70,65.56,68.33,53.53,0.000251235265698054,1
71,49.07,61.01,46.11,0.000178633138746635,1
72,60.02,58.22,53.11,0.000178442321359765,1
73,59.96,56.35,53.12,0.000176316467463874,1
74,59.13,59.7,53.11,0.000172584065495346,1
75,59.14,59.41,53.12,0.000167750389217872,1
76,55.82,58.03,50.5,0.00014465649008229,0
77,56.5,57.15,51.08,0.000128760701659285,0
78,43.75,52.02,41.99,0.0000480559075517014,0
79,40.3,46.85,41.06,-0.0000236645619203132,0
80,50.76,44.94,49.19,-0.0000265711809855052,0
81,42.26,44.44,43.89,-0.0000716307253216392,0
82,40.31,44.44,42.75,-0.00011600307165884,0
83,40.31,40.96,42.75,-0.000149449988950983,0
84,39.2,39.94,42.03,-0.000179586421167155,0
85,29.55,36.35,36.31,-0.000250118600796178,0
86,29.55,32.77,36.31,-0.000302541208151279,0
87,29.55,29.55,36.31,-0.000340175332496089,0
88,23.37,27.49,32.75,-0.000397126096712385,0
89,20.85,24.59,31.39,-0.00045005731164626,0
90,37.64,27.29,47.38,-0.000399117670607099,0
91,48.69,35.72,54.64,-0.000298943330280082,1
92,45.72,44.02,54.64,-0.000217056419847733,1
93,53.11,49.17,59.73,-0.000106514026457967,1
94,57.37,52.07,61.78,0.000000778224679282988,1
95,57.37,55.95,61.78,0.0000848093720038871,1
96,57.37,57.37,61.78,0.000149658814815857,1
97,74.96,63.23,69.72,0.0002791834638784,1
98,90.99,74.44,74.85,0.000450690929008462,1
99,93.6,86.51,75.58,0.000591750732885714,1
100,100,94.86,77.47,0.000727588960180216,1
101,100,97.87,77.47,0.000825641794602308,1
102,87.3,95.77,66.62,0.000834718341265414,1
103,81.45,89.58,62.29,0.000805456950081364,1
104,72.56,80.44,56.31,0.000732524122478802,1
105,80.59,78.2,60.04,0.000703916299869097,1
106,72.82,75.32,55.13,0.00063780046598847,1
107,80.77,78.06,58.84,0.000615217672384752,1
108,79.28,77.62,57.88,0.000583697585174352,1
109,69.08,76.38,51.63,0.000505491549778857,1
110,68.84,72.4,51.49,0.000437363875589456,1
111,68.84,68.92,51.49,0.000378998826081148,1
112,63.17,66.95,47.9,0.000302867596587463,1
113,52.8,61.6,42.14,0.000192109848003108,1
114,83.98,66.65,58.37,0.000246490883107821,1
115,83.55,73.44,58.13,0.000284269672948151,1
116,90.52,86.02,60.96,0.000342658111976341,1
117,90.02,88.03,60.64,0.000382191555146733,1
118,93.51,91.35,62.12,0.000424839673275289,1
119,79.83,87.79,53.62,0.000390563920602254,1
120,78.17,83.84,52.68,0.000351638857308862,1
121,66.47,74.82,46.48,0.000263383445271795,1
122,65.31,69.98,45.9,0.000185891192688562,0
123,52.69,61.49,40.08,0.0000650168247349209,0
124,61.46,59.82,45.27,0.00000986637841004745,0
125,61.06,58.4,45.08,-0.000035297414925207,1
126,64.91,62.48,47.4,-0.0000525555652462866,0
127,65.39,63.79,47.69,-0.0000632985862031884,0
128,86.82,72.37,58.82,0.000027560900037974,0
129,54.9,69.03,43.85,-0.0000483646366415288,0
130,72.46,71.39,51.21,-0.0000265284159457608,0
131,55.07,60.81,44.93,-0.0000890923161481425,0
132,47.14,58.22,42.38,-0.000173595962114286,0
133,53.19,51.8,44.95,-0.000210003341318343,0
134,67.09,55.81,50.42,-0.000172148838498762,0
135,66.06,62.11,50.02,-0.000145292109144727,0
136,71.44,68.2,52.14,-0.0000978626407778068,0
137,64.41,67.3,49.21,-0.000091894006553828,0
138,68.37,68.07,50.88,-0.0000679807025600861,0
139,56.62,63.13,46.03,-0.00010252415561328,0
140,47.39,57.46,42.59,-0.000170891300476187,0
141,47.39,50.46,42.59,-0.000222517644569483,0
142,47.39,47.39,42.59,-0.000260437580516097,0
143,48.62,47.8,43.3,-0.000281501527018155,0
144,62.34,52.78,50.58,-0.000231649475075526,0
145,59.99,56.98,49.41,-0.0002008014834892,0
146,59.99,60.77,49.41,-0.00017434440389543,0
147,62.24,60.74,50.68,-0.000141239154949431,0
148,58.78,60.33,48.66,-0.000129650119652604,0
149,56.82,59.28,47.5,-0.000128105065152346,0
150,48.1,54.56,42.65,-0.000165561536093015,0
151,55.92,53.61,47.8,-0.000157028959652896,0
152,46.11,50.04,42.63,-0.000193679659995659,0
153,45.8,49.28,42.48,-0.000221627436052718,0
154,53.59,48.5,47.67,-0.000205171873836039,0
155,66.81,55.4,55.08,-0.000129081355483701,0
156,48.61,56.33,45.52,-0.000151761587922688,0
157,49.06,54.82,49.02,-0.000137085822567672,0
158,49.06,48.91,49.02,-0.000124025451496183,0
159,33.84,43.98,42.66,-0.00017387388026849,0
160,36.05,39.65,43.81,-0.000201995296311038,0
161,33.84,34.57,42.88,-0.000230688344036523,0
162,33.78,34.56,42.86,-0.000250773552742168,0
163,33.65,33.75,42.8,-0.000264172217951759,0
164,30.11,32.51,41.08,-0.000285964790571601,0
165,30.11,31.29,41.08,-0.000299783977944305,0
166,30.11,30.11,41.08,-0.000307197876552133,0
167,30.11,30.11,41.08,-0.000309508225911878,0
168,29,29.74,40.4,-0.000312274662926388,0
169,7.2,22.11,29.88,-0.000399032085886699,0
170,17.02,17.74,37.74,-0.000422765126134899,0
171,5.94,10.06,33.22,-0.00048138298477403,0
172,5.94,9.63,33.22,-0.000521840254570547,0
173,5.94,5.94,33.22,-0.000547604454974957,0
174,7.36,6.41,34.47,-0.00055581020147535,0
175,7.36,6.89,34.47,-0.000555912539748696,0
176,7.36,7.36,34.47,-0.000549663372818022,0
177,7.36,7.36,34.47,-0.000538507972892592,0
178,23.48,12.73,49.11,-0.000458414013347119,0
179,18.96,16.6,46,-0.000408725620036798,0
180,24.46,22.3,50.13,-0.000342882722716416,0
181,29.34,24.25,53.53,-0.0002676086839094,0
182,29.33,27.71,53.52,-0.000205642758174287,0
183,27.47,28.71,51.96,-0.000162283218761935,0
184,31.52,29.44,55.04,-0.000110078712481665,0
185,31.52,30.17,55.04,-0.0000679249126224704,0
186,31.52,31.52,55.04,-0.0000341256377277414,0
187,24.21,29.08,48.09,-0.0000368019588798159,0
188,31.41,29.05,54.22,-0.00000939392934150641,1
189,24.33,26.65,48.19,-0.0000164387195656688,1
190,24.33,26.69,48.19,-0.0000217709071663963,1
191,31.52,26.73,54.19,0.00000338450314522716,1
192,30.1,28.65,52.89,0.0000173058370386551,1
193,30.1,30.57,52.89,0.0000280150720715344,1
194,30.08,30.09,52.87,0.0000360283749844604,1
195,30.1,30.09,52.89,0.0000419532304288516,1
196,30.1,30.09,52.89,0.0000461169327819951,1
197,31.52,30.57,54.47,0.0000546000487426693,1
198,31.52,31.05,54.47,0.0000606237938342488,1
199,42.89,35.31,65.31,0.000110618017323265,1
200,42.89,39.1,65.31,0.000148518461489596,1
201,47.8,44.53,69.01,0.000196386372917701,1
202,44.41,45.03,63.93,0.000217918511598181,1
203,44.41,45.54,63.93,0.00023230204685674,1
204,44.41,44.41,63.93,0.000240921930891465,1
205,42.89,43.9,61.41,0.000238785323664374,1
206,41.01,42.77,58.35,0.000226811168430085,1
207,41.01,41.64,58.35,0.000214845023438973,1
208,41.01,41.01,58.35,0.000203021517442634,1
209,28.73,36.92,41.46,0.00014183089131407,1
210,28.73,32.83,41.46,0.0000922659996795634,1
211,44.41,33.96,59.02,0.000115732418782725,1
212,47.96,40.37,61.82,0.000147153108653418,1
213,47.97,46.78,61.83,0.000170146810175683,1
214,42.33,46.09,54.93,0.000163425957639252,0
215,40.4,43.57,52.76,0.000148488888214889,0
216,28.69,37.14,41.94,0.0000877736580883949,0
217,12.89,27.33,32.31,-0.000024686979444508,0
218,7.32,16.3,29.72,-0.000135063943739167,0
219,0.92,7.04,27.04,-0.000245886853420662,0
220,0.92,3.06,27.04,-0.000329936188350916,0
221,0,0.62,25.03,-0.000411883717597469,0
222,0,0.31,24.02,-0.000481825321993936,0
223,0,0,11.17,-0.000807671689887362,0
224,0,0,11.17,-0.00105398236054965,0
225,0,0,11.17,-0.00123512528028302,0
226,0,0,10.16,-0.00140426333840057,0
227,0,0,10.16,-0.00152092269939843,0
228,0,0,10.16,-0.00159510629258214,0
229,0,0,8.77,-0.00169284674581931,0
230,0,0,8.77,-0.00175025034766721,0
231,0,0,8.77,-0.00177548789684767,0
232,0,0,7.37,-0.00183933471195639,0
233,0,0,7.3,-0.00187202691869768,0
234,0,0,6.82,-0.00190124874344714,0
235,0,0,6.31,-0.00193101157285152,0
236,0,0,6.06,-0.00194670017194933,0
237,0,0,5.93,-0.00194458338159788,0
238,0,0,5.9,-0.00192216529615956,0
239,0,0,5.9,-0.00188275263828311,0
240,0,0,5.9,-0.00183046279541073,0
241,0,0,5.9,-0.00176867077336172,0
242,0,0,4.34,-0.00178699896588352,0
243,0,0,4.25,-0.00178697391565154,0
244,0,0,3.85,-0.00179654993345778,0
245,0,0,3.34,-0.00182955215878105,0
246,0,0,3.03,-0.00186682312009976,0
247,0,0,3.01,-0.0018768691376401,0
248,0,0,3.01,-0.00186348156841757,0
249,1.69,0.56,9.17,-0.00181272341750417,0
250,1.76,1.15,9.43,-0.00175152090244758,0
251,1.76,1.74,9.43,-0.00168363785715427,0
252,2.05,1.85,10.63,-0.00160803811930227,0
253,1.98,1.93,10.6,-0.00153119563162666,0
254,0.05,1.36,9.61,-0.0014754430825065,0
255,0,0.68,8.46,-0.0014445220456737,0
256,0,0.02,8.46,-0.00140386054070987,0
257,0,0,8.46,-0.00135602568021057,0
258,0,0,8.46,-0.00130311158145256,0
259,0,0,8.3,-0.00125030319960325,0
260,0,0,7.82,-0.00120538217028857,0
261,0,0,7.42,-0.00116570190641978,0
262,0,0,7.37,-0.00112232956505668,0
263,0,0,5.26,-0.00113833395861386,0
264,0,0,4.21,-0.00118891237645278,0
265,0,0,4.08,-0.00122219142897671,0
266,0,0,4.08,-0.00123437906343675,0
267,0,0,4.08,-0.00122989444392687,0
268,0,0,4.08,-0.00121239170575957,0
269,0,0,4.08,-0.00118488357363513,0
270,0,0,4.08,-0.00114984560515044,0
271,0,0,4.08,-0.0011093040492486,0
272,0,0,4.08,-0.00106490985235694,0
273,0,0,4.08,-0.00101800095736588,0
274,0,0,4.08,-0.00096965471185316,0
275,0,0,4.08,-0.000920731923196794,0
276,0,0,4.08,-0.000871913861906873,0
277,0,0,4.08,-0.000823733314220169,0
278,0,0,4.08,-0.000776600615302398,0
279,0,0,4.08,-0.000730825450635946,0
280,0,0,4.08,-0.00068663509141501,0
281,0,0,4.08,-0.000644189626672601,0
282,0,0,4.08,-0.000603594667580858,0
283,0,0,0.39,-0.0011663863233359,0
284,1.76,0.59,5.23,-0.00156307604622371,0
285,1.76,1.18,5.23,-0.00185649034418409,0
286,1.76,1.76,5.22,-0.00206567422072943,0
287,1.39,1.64,5.16,-0.00221295807126372,0
288,1.39,1.51,5.16,-0.00230335426450465,0
289,1.76,1.51,6.54,-0.00234137597869036,0
290,1.76,1.64,6.54,-0.00234461595303897,0
291,1.76,1.76,6.55,-0.00232048243818493,0
292,1.76,1.76,6.55,-0.00227521431462137,0
293,1.76,1.76,6.55,-0.00221388645848901,0
294,8.43,3.99,32.01,-0.00202081785076471,0
295,8.44,6.21,32.03,-0.00184640348726466,0
296,8.44,8.44,32.03,-0.00168870993672286,0
297,8.7,8.53,32.03,-0.00154591451878011,0
298,8.7,8.61,32.03,-0.00141641925260701,0
299,8.7,8.7,32.03,-0.00129882045594318,0
300,8.72,8.71,32.03,-0.00119188270304568,0
301,8.72,8.72,32.03,-0.00109451649661333,0
302,8.72,8.72,32.03,-0.00100575910560643,0
303,8.72,8.72,32.03,-0.000924758103117984,0
304,8.72,8.72,32.03,-0.000850757208263929,0
305,8.72,8.72,32.03,-0.00078308409533544,0
306,8.72,8.72,32.03,-0.000721139883779836,0
307,8.72,8.72,32.03,-0.000664390065309374,0
308,8.72,8.72,32.03,-0.000612356660719898,0
309,8.72,8.72,32.03,-0.000564611429819911,0
310,8.72,8.72,32.03,-0.000520769984041762,0
311,1.44,6.29,15.9,-0.000607161363128063,0
312,1.43,3.86,15.89,-0.000668018810593289,0
313,1.43,1.43,15.89,-0.000708112163990781,0
314,1.43,1.43,15.89,-0.000731475088966235,0
315,1.43,1.43,15.89,-0.000741459653103827,0
316,1.43,1.43,15.89,-0.000740845468825498,0
317,1.43,1.43,15.89,-0.000731931778982273,0
318,1.43,1.43,15.89,-0.000716615118121639,0
319,1.43,1.43,15.89,-0.000696454779031504,0
320,1.54,1.47,17.06,-0.000670910400987752,0
321,1.54,1.5,17.1,-0.000643196445889408,0
322,1.54,1.54,17.1,-0.000614156373807543,0
323,1.35,1.48,16.57,-0.000587750034710704,0
324,1.03,1.31,15.72,-0.000565819254437909,0
325,0.9,1.09,15.34,-0.000544595946648924,0
326,0.87,0.93,15.26,-0.000522292018060084,0
327,0.61,0.79,14.53,-0.000503265956155196,0
328,1.34,0.94,25.58,-0.000469958233622998,0
329,0,0.65,11.29,-0.000553647209255846,0
330,0,0.45,11.29,-0.000612934987230245,0
331,0,0,11.29,-0.000652423350012277,0
332,0.1,0.03,12.23,-0.000674183893445571,0
333,0.09,0.06,12.22,-0.00068362224428135,0
334,0.1,0.09,12.26,-0.000683178660915211,0
335,0.1,0.09,12.26,-0.000675054306370463,0
336,0.02,0.07,12.12,-0.000662412122901339,0
337,0.01,0.04,12.11,-0.000645081633706802,0
338,0.02,0.02,12.2,-0.00062403944801911,0
339,0.02,0.02,12.2,-0.000600445514174215,0
340,0.02,0.02,12.2,-0.00057512048461219,0
341,6.46,2.17,62.8,-0.000430468306836386,0
342,5.51,4,57.54,-0.000329674608852829,1
343,6.47,6.15,61.09,-0.000229342481074764,1
344,14.36,8.78,77.63,-0.00000347649746533701,1
345,17.75,12.86,81.31,0.000235460851019551,1
346,13.1,15.07,65.41,0.000334688848864403,1
347,14.18,15.01,67.03,0.000428379160482721,1
348,19.53,15.6,73.59,0.000594746770319892,1
349,17.62,17.11,68.35,0.000683226044501126,1
350,17.61,18.25,68.34,0.000744660866670466,1
351,17.6,17.61,68.29,0.000783928809468315,1
352,19.4,18.2,70.74,0.000838711670327473,1
353,18.95,18.65,69.3,0.000863807987783676,1
354,19.4,19.25,69.96,0.000881909445357096,1
355,17.44,18.6,62.91,0.000846126008932461,1
356,18.67,18.5,64.88,0.000829131897411186,1
357,13.83,16.65,51.52,0.000712872283295285,1
358,15.53,16.01,53.68,0.000633290178611869,1
359,21.13,16.83,61.97,0.000653099119138906,1
360,19.75,18.8,58.41,0.000632940175008343,1
361,19.81,20.23,58.52,0.00061104336701797,1
362,20.06,19.87,58.52,0.000586924255592054,1
363,20.19,20.02,58.52,0.000561339073789898,1
364,24.49,21.58,58.52,0.000534896926873942,1
365,45.2,29.96,77.01,0.000781601919118285,1
366,48.04,39.24,78.43,0.00100327200319265,1
367,50.94,48.06,79.06,0.0011822709507042,1
368,54.25,51.08,80.58,0.00135110554159342,1
369,47.75,50.98,69.83,0.00138494334722637,1
370,57.37,53.12,73.87,0.00148484832113769,1
371,56.18,53.77,72.19,0.00153168967852098,1
372,50.03,54.53,64.03,0.00147610699780056,1
373,50.01,52.08,60.81,0.00138310794036346,1
374,59.22,53.09,66.58,0.00139830850926694,1
375,51.28,53.5,57.46,0.00129045689261022,1
376,52.63,54.38,57.46,0.00119125097789818,1
377,53.33,52.41,57.46,0.00109994947495475,1
378,53.71,53.22,57.46,0.00101588148554771,1
379,57.91,54.98,60.55,0.000982613490032002,1
380,48.36,53.33,51.28,0.000843137828560306,1
381,55.94,54.07,56.92,0.000805405764424039,1
382,49.95,51.42,51.82,0.000702554624237263,1
383,50.16,52.02,48.76,0.00057236292694822,1
384,50.45,50.19,48.75,0.000463639549858777,1
385,55.12,51.91,51.09,0.000402303517605183,1
386,53.34,52.97,47.75,0.000308148071662003,1
387,50.95,53.14,45.63,0.000203556485045422,0
388,48.99,51.09,44.28,0.00010182348900972,0
389,49.27,49.74,44.54,0.0000234438603028272,0
390,48.99,49.09,44.32,-0.0000407558901836685,0
391,51.73,50,47.03,-0.0000661933497387243,0
392,51.69,50.8,46.99,-0.0000857203236932545,0
393,47.45,50.29,43.22,-0.000137877989490461,0
394,42.85,47.33,39.48,-0.000218521441348768,0
395,26.12,38.81,29.27,-0.000434320304924873,0
396,27.04,32,29.27,-0.000598532655669499,0
397,36.86,30,39.01,-0.00063783579931234,0
398,39.19,34.36,41.08,-0.000641734588850886,0
399,40.69,38.91,42.44,-0.000624914708404772,0
400,54.54,44.81,53.02,-0.00048997847864123,0
