N,TEMP,HUMIDITY,LIGHT,CO2_PPM,OCCUPANCY
1,22,31,437,1030,1
2,22,31,437,1000,1
3,22,31,434,1004,1
4,22,31,439,1010,1
5,22,31,437,1006,1
6,22,31,437,1014,1
7,22,31,434,1019,1
8,22,31,437,1019,1
9,22,31,434,1022,1
10,22,32,437,1027,1
11,22,32,438,1048,1
12,22,32,442,1049,1
13,22,31,442,1062,1
14,22,31,442,1049,1
15,22,32,442,1048,1
16,22,32,438,1049,1
17,22,32,450,1051,1
18,22,32,450,1061,1
19,22,32,450,1060,1
20,22,32,448,1072,1
21,22,32,450,1072,1
22,22,32,450,1075,1
23,22,32,450,1087,1
24,22,32,438,1083,1
25,22,32,443,1086,1
26,22,32,437,1091,1
27,22,32,439,1100,1
28,22,32,444,1101,1
29,22,32,444,1107,1
30,22,32,444,1110,1
31,22,32,444,1102,1
32,22,32,444,1100,1
33,22,32,444,1093,1
34,22,32,444,1093,1
35,22,32,437,1094,1
36,22,32,434,1086,1
37,22,32,437,1047,0
38,22,31,434,1031,0
39,22,31,433,978,0
40,22,31,437,961,1
41,22,31,434,948,1
42,22,31,429,913,1
43,22,31,433,883,1
44,22,31,429,885,1
45,22,31,429,899,1
46,22,31,433,888,1
47,22,31,437,879,1
48,22,31,429,891,1
49,22,31,437,897,1
50,22,31,429,890,1
51,22,31,429,887,1
52,22,31,429,894,1
53,22,30,429,833,1
54,22,31,429,829,1
55,22,31,429,829,1
56,22,31,429,851,1
57,22,31,429,844,1
58,22,31,429,840,1
59,22,31,429,824,1
60,22,31,429,824,1
61,22,30,429,813,1
62,22,30,429,802,1
63,22,30,429,811,1
64,22,30,429,805,1
65,22,30,429,797,1
66,22,30,429,795,1
67,22,30,429,794,1
68,22,30,429,791,1
69,22,30,429,787,1
70,22,30,429,794,1
71,22,30,429,796,1
72,22,30,414,793,1
73,22,31,424,798,1
74,22,30,429,796,1
75,22,30,429,798,1
76,22,30,429,798,1
77,22,30,429,802,1
78,22,30,422,798,1
79,22,30,429,792,1
80,22,30,419,788,1
81,22,30,429,792,1
82,22,30,429,796,1
83,22,30,429,794,1
84,22,30,429,789,1
85,22,30,429,786,1
86,22,30,429,772,1
87,22,30,429,760,1
88,22,30,429,756,1
89,22,30,429,754,1
90,22,30,417,759,1
91,22,30,422,757,1
92,22,31,438,764,1
93,22,30,441,768,1
94,22,30,438,770,1
95,22,30,438,766,1
96,22,30,438,768,1
97,22,30,438,777,1
98,22,30,441,775,1
99,22,30,436,768,1
100,22,30,438,767,1
101,22,30,438,773,1
102,22,30,436,775,1
103,22,30,435,766,1
104,22,30,435,752,1
105,22,30,431,754,1
106,22,30,441,755,1
107,22,30,431,763,1
108,22,30,425,770,1
109,22,30,419,769,1
110,22,31,395,772,1
111,22,31,427,785,1
112,22,30,425,784,1
113,22,30,424,794,1
114,22,30,424,791,1
115,22,30,427,791,1
116,22,30,428,793,1
117,22,30,433,788,1
118,22,30,433,789,1
119,22,30,428,783,1
120,22,30,428,784,1
121,22,30,427,791,1
122,22,30,428,786,1
123,22,30,433,787,1
124,22,30,433,786,1
125,22,30,428,786,1
126,22,30,433,788,1
127,22,30,433,787,1
128,22,30,433,792,1
129,22,30,433,788,1
130,22,31,433,798,1
131,22,30,433,802,1
132,22,31,433,804,1
133,22,31,433,811,1
134,22,30,433,804,1
135,22,31,433,802,1
136,22,31,433,804,1
137,22,30,433,807,1
138,22,30,433,802,1
139,22,31,433,796,1
140,22,31,433,807,1
141,22,31,433,824,1
142,22,31,433,818,1
143,22,31,433,808,1
144,22,31,433,814,1
145,22,30,433,804,1
146,22,30,433,805,1
147,22,30,433,806,1
148,22,30,433,799,1
149,22,30,433,797,1
150,22,30,433,798,1
151,22,30,433,785,1
152,22,30,424,781,1
153,22,30,433,783,1
154,22,30,426,787,1
155,22,30,426,791,1
156,22,30,430,782,1
157,22,30,424,778,1
158,22,30,423,778,1
159,22,30,428,773,1
160,22,30,419,766,1
161,22,30,419,756,1
162,22,30,419,751,1
163,22,30,419,747,1
164,22,30,419,741,1
165,22,30,419,735,1
166,22,30,419,719,1
167,22,30,419,718,1
168,22,30,419,716,1
169,22,30,419,712,1
170,22,30,419,709,1
171,22,30,419,702,1
172,22,30,419,702,1
173,22,30,419,696,1
174,22,30,419,687,1
175,22,30,419,680,1
176,22,30,419,674,1
177,22,29,419,669,1
178,22,30,419,668,1
