N,SUNSPOT_COUNTS,SUNSPOT_COUNTS
11,80.9,80.9
12,82.2,82.2
13,83.3,83.3
14,84.9,84.9
15,87.6,87.6
16,88.0,88.0
17,89.4,89.4
18,88.6,88.6
19,91.7,91.7
20,93.0,93.0
21,92.2,92.2
22,84.2,84.2
23,83.4,83.4
24,83.1,83.1
25,80.4,80.4
26,76.8,76.8
27,74.1,74.1
28,71.7,71.7
29,67.6,67.6
30,66.0,66.0
31,62.4,62.4
32,56.7,56.7
33,53.2,53.2
34,50.3,50.3
35,47.7,47.7
36,44.7,44.7
37,45.3,45.3
38,47.4,47.4
39,47.7,47.7
40,47.6,47.6
41,46.7,46.7
42,47.7,47.7
43,45.1,45.1
44,45.4,45.4
45,47.4,47.4
46,48.1,48.1
47,47.8,47.8
48,48.6,48.6
49,47.1,47.1
50,44.9,44.9
51,43.2,43.2
52,41.2,41.2
53,40.5,40.5
54,35.9,35.9
55,36.7,36.7
56,36.7,36.7
57,34.9,34.9
58,33.5,33.5
59,30.7,30.7
60,27.0,27.0
61,24.6,24.6
62,20.9,20.9
63,18.9,18.9
64,17.6,17.6
65,17.2,17.2
66,16.9,16.9
67,14.7,14.7
68,13.1,13.1
69,13.0,13.0
70,12.4,12.4
71,12.2,12.2
72,13.1,13.1
73,13.8,13.8
74,14.2,14.2
75,13.6,13.6
76,11.9,11.9
77,9.6,9.6
78,8.8,8.8
79,8.0,8.0
80,8.8,8.8
81,8.8,8.8
82,8.3,8.3
83,9.6,9.6
84,9.8,9.8
85,9.4,9.4
86,9.3,9.3
87,9.5,9.5
88,10.6,10.6
89,11.7,11.7
90,11.2,11.2
91,11.5,11.5
92,11.0,11.0
93,10.2,10.2
94,11.1,11.1
95,10.2,10.2
96,10.3,10.3
97,11.5,11.5
98,13.2,13.2
99,15.0,15.0
100,17.1,17.1
101,17.1,17.1
102,18.9,18.9
103,22.6,22.6
104,24.9,24.9
105,26.4,26.4
106,30.4,30.4
107,32.4,32.4
108,34.4,34.4
109,37.0,37.0
110,38.9,38.9
111,42.4,42.4
112,43.1,43.1
113,45.8,45.8
114,47.3,47.3
115,46.3,46.3
116,48.2,48.2
117,48.6,48.6
118,46.8,46.8
119,47.6,47.6
120,48.5,48.5
121,47.8,47.8
122,47.6,47.6
123,45.5,45.5
124,45.8,45.8
125,46.2,46.2
126,46.8,46.8
127,49.5,49.5
128,50.7,50.7
129,52.5,52.5
130,52.8,52.8
131,54.0,54.0
132,55.6,55.6
133,56.8,56.8
134,59.2,59.2
135,60.1,60.1
136,62.0,62.0
137,61.9,61.9
138,63.1,63.1
139,63.5,63.5
140,62.2,62.2
141,61.4,61.4
142,62.5,62.5
143,62.9,62.9
144,63.1,63.1
145,65.7,65.7
146,66.2,66.2
147,67.3,67.3
148,70.3,70.3
149,74.5,74.5
150,76.9,76.9
151,78.1,78.1
152,81.4,81.4
153,84.6,84.6
154,87.1,87.1
155,85.9,85.9
156,83.7,83.7
157,82.2,82.2
158,79.2,79.2
159,78.3,78.3
160,72.7,72.7
161,70.8,70.8
162,65.8,65.8
163,63.8,63.8
